seq,red_raw,ir_raw,red_fir,ir_fir
23458,-40264,-24624,-17581.138797,15.799146
23459,-40271,-24630,-17564.895919,-10759.954481
23460,-40278,-24639,-17544.895760,-10745.891374
23461,-40290,-24643,-17521.986729,57.406505
23462,-40294,-24648,-17497.300200,-10711.583673
23463,-40297,-24652,-17472.155530,-10693.107168
23464,-40301,-24654,-17447.942378,111.799296
23465,-40306,-24655,-17425.994751,-10658.601891
23466,-40304,-24656,-17407.472323,-10644.501863
23467,-40299,-24652,-17393.259383,153.380886
23468,-40290,-24647,-17383.893605,-10626.140790
23469,-40289,-24642,-17379.532580,-10622.534262
23470,-40286,-24640,-17379.959566,164.304701
23471,-40279,-24634,-17384.624749,-10625.975469
23472,-40283,-24635,-17392.714752,-10632.073895
23473,-40284,-24639,-17403.244126,146.743597
23474,-40280,-24636,-17415.153772,-10649.434456
23475,-40289,-24640,-17427.404801,-10659.082610
23476,-40295,-24643,-17439.063837,118.538998
23477,-40295,-24642,-17449.366809,-10676.672510
23478,-40309,-24648,-17457.758756,-10683.543014
23479,-40315,-24654,-17463.914618,98.205957
23480,-40313,-24655,-17467.733831,-10692.045256
23481,-40327,-24660,-17469.317994,-10693.643696
23482,-40332,-24670,-17468.940266,93.209589
23483,-40332,-24672,-17467.002233,-10692.510736
23484,-40346,-24675,-17463.988898,-10690.460976
23485,-40351,-24681,-17460.427452,98.954241
23486,-40348,-24682,-17456.844028,-10685.386098
23487,-40362,-24687,-17453.725502,-10683.134103
23488,-40367,-24696,-17451.490688,105.398024
23489,-40362,-24696,-17450.461689,-10680.744916
23490,-40375,-24698,-17450.843513,-10680.992320
