seq,red_raw,ir_raw,red_fir,ir_fir
800,-465494,-465561,-201373.031250,-201405.109375
801,-465459,-465550,-193.389609,-194.566719
802,-465441,-465520,-201374.968750,-201406.984375
803,-465416,-465486,-201375.156250,-201407.515625
804,-465368,-465459,-194.373984,-196.097969
805,-465334,-465411,-201374.656250,-201407.531250
806,-465291,-465363,-201373.796875,-201407.031250
807,-465237,-465328,-191.733359,-194.207344
808,-465205,-465284,-201371.187500,-201404.500000
809,-465174,-465242,-201369.500000,-201402.828125
810,-465130,-465214,-186.873984,-189.066719
811,-465108,-465179,-201365.890625,-201398.390625
812,-465083,-465146,-201364.093750,-201396.031250
813,-465049,-465130,-181.389609,-182.176094
814,-465033,-465105,-201360.562500,-201391.875000
815,-465016,-465082,-201359.000000,-201389.984375
816,-464993,-465078,-176.889609,-176.863594
817,-464988,-465061,-201356.593750,-201387.734375
818,-464982,-465050,-201355.765625,-201387.078125
